 ,Area,Mean,Min,Max
1,378651,255,255,255
2,2,255,255,255
3,124,255,255,255
4,2058,255,255,255
5,1,255,255,255
6,1,255,255,255
7,1,255,255,255
8,1,255,255,255
9,1,255,255,255
10,1,255,255,255
11,2,255,255,255
12,14,255,255,255
13,14,255,255,255
14,1,255,255,255
15,1,255,255,255
16,6,255,255,255
17,1,255,255,255
18,4,255,255,255
19,7,255,255,255
20,7,255,255,255
21,2,255,255,255
22,3,255,255,255
23,241,255,255,255
24,2,255,255,255
25,1,255,255,255
26,1,255,255,255
27,1,255,255,255
28,89,255,255,255
29,1,255,255,255
30,17,255,255,255
31,1,255,255,255
32,6,255,255,255
33,1,255,255,255
34,1,255,255,255
35,2,255,255,255
36,3,255,255,255
37,1,255,255,255
38,1,255,255,255
39,5,255,255,255
40,2,255,255,255
41,1,255,255,255
42,3,255,255,255
43,2,255,255,255
44,1,255,255,255
45,1,255,255,255
46,1,255,255,255
47,2,255,255,255
48,1,255,255,255
49,2,255,255,255
50,2,255,255,255
51,2,255,255,255
52,5,255,255,255
53,1,255,255,255
54,1,255,255,255
55,1,255,255,255
56,130,255,255,255
57,8,255,255,255
58,1,255,255,255
59,1,255,255,255
60,1,255,255,255
61,2,255,255,255
62,1,255,255,255
63,2,255,255,255
64,2,255,255,255
65,1,255,255,255
66,2,255,255,255
67,4,255,255,255
68,1,255,255,255
69,4,255,255,255
70,1,255,255,255
71,1,255,255,255
72,1,255,255,255
73,1,255,255,255
74,3,255,255,255
75,1,255,255,255
76,1,255,255,255
77,2,255,255,255
78,11,255,255,255
79,1,255,255,255
80,2,255,255,255
81,1,255,255,255
82,22,255,255,255
83,2,255,255,255
84,1,255,255,255
85,2,255,255,255
86,2,255,255,255
87,2,255,255,255
88,3,255,255,255
89,10,255,255,255
90,4,255,255,255
91,1,255,255,255
92,3,255,255,255
93,248,255,255,255
94,2,255,255,255
95,2,255,255,255
96,8,255,255,255
97,3,255,255,255
98,2,255,255,255
99,1,255,255,255
100,5,255,255,255
101,2,255,255,255
102,1,255,255,255
103,1,255,255,255
104,1,255,255,255
105,2,255,255,255
106,3,255,255,255
107,2,255,255,255
108,3,255,255,255
109,1,255,255,255
110,7,255,255,255
111,6,255,255,255
112,1,255,255,255
113,1,255,255,255
114,36,255,255,255
115,1,255,255,255
116,1,255,255,255
117,1,255,255,255
118,6,255,255,255
119,1,255,255,255
120,1,255,255,255
121,4,255,255,255
122,8,255,255,255
123,1,255,255,255
124,21,255,255,255
125,24,255,255,255
126,39,255,255,255
127,2,255,255,255
128,1,255,255,255
129,1,255,255,255
130,1,255,255,255
131,1,255,255,255
132,1,255,255,255
133,34,255,255,255
134,1,255,255,255
135,1,255,255,255
136,1,255,255,255
137,1,255,255,255
138,1,255,255,255
139,5,255,255,255
140,2,255,255,255
141,1,255,255,255
142,1,255,255,255
143,3,255,255,255
144,4,255,255,255
145,2,255,255,255
146,1,255,255,255
147,1,255,255,255
148,2,255,255,255
149,1,255,255,255
150,8,255,255,255
151,1,255,255,255
152,1,255,255,255
153,63,255,255,255
154,1,255,255,255
155,2,255,255,255
156,2,255,255,255
157,1,255,255,255
158,1,255,255,255
159,1,255,255,255
160,1,255,255,255
161,2,255,255,255
162,3,255,255,255
163,6,255,255,255
164,11,255,255,255
165,2,255,255,255
166,2,255,255,255
167,2,255,255,255
168,11,255,255,255
169,1,255,255,255
170,1,255,255,255
171,3,255,255,255
172,4,255,255,255
173,3,255,255,255
174,22,255,255,255
175,1,255,255,255
176,1,255,255,255
177,5,255,255,255
178,1,255,255,255
179,2,255,255,255
180,1,255,255,255
181,5,255,255,255
182,19,255,255,255
183,5,255,255,255
184,3,255,255,255
185,14,255,255,255
186,2,255,255,255
187,1,255,255,255
188,1,255,255,255
189,1,255,255,255
190,1,255,255,255
191,1,255,255,255
192,11,255,255,255
193,6,255,255,255
194,2,255,255,255
195,7,255,255,255
196,1,255,255,255
197,1,255,255,255
198,3,255,255,255
199,1,255,255,255
200,4,255,255,255
201,1,255,255,255
202,1,255,255,255
203,5,255,255,255
204,109,255,255,255
205,1,255,255,255
206,1,255,255,255
207,1,255,255,255
208,2,255,255,255
209,795,255,255,255
210,8,255,255,255
211,12,255,255,255
212,1,255,255,255
213,3,255,255,255
214,1,255,255,255
215,6,255,255,255
216,1,255,255,255
217,44,255,255,255
218,1,255,255,255
219,1,255,255,255
220,57,255,255,255
221,25,255,255,255
222,10,255,255,255
223,2,255,255,255
224,1,255,255,255
225,1,255,255,255
226,7,255,255,255
227,2,255,255,255
228,12,255,255,255
229,1,255,255,255
230,2,255,255,255
231,6,255,255,255
232,11,255,255,255
233,1,255,255,255
234,5,255,255,255
235,4,255,255,255
236,1,255,255,255
237,5,255,255,255
238,3,255,255,255
239,5,255,255,255
240,3,255,255,255
241,1,255,255,255
242,15,255,255,255
243,48,255,255,255
244,1,255,255,255
245,1,255,255,255
246,124,255,255,255
247,4,255,255,255
248,3,255,255,255
249,5,255,255,255
250,3,255,255,255
251,2,255,255,255
252,1,255,255,255
253,2,255,255,255
254,1,255,255,255
255,2,255,255,255
256,12,255,255,255
257,6,255,255,255
258,27,255,255,255
259,4,255,255,255
260,1,255,255,255
261,10,255,255,255
262,2,255,255,255
263,20,255,255,255
264,2,255,255,255
